position,team,played,wins,draws,loses,goals_for,goals_against,goal_diff,points,promotion_qualification_or_relegation,season,pts
1,Wolverhampton Wanderers,46,31,10,5,89,31,58,103,Promotion to Football League Championship,2013-2014,103
2,Brentford,46,28,10,8,72,43,29,94,Promotion to Football League Championship,2013-2014,94
3,Leyton Orient,46,25,11,10,85,45,40,86,Qualification for League One play-offs,2013-2014,86
4,Rotherham United,46,24,14,8,86,58,28,86,Qualification for League One play-offs,2013-2014,86
5,Preston North End,46,23,16,7,72,46,26,85,Qualification for League One play-offs,2013-2014,85
6,Peterborough United,46,23,5,18,72,58,14,74,Qualification for League One play-offs,2013-2014,74
7,Sheffield United,46,18,13,15,48,47,1,67,,2013-2014,67
8,Swindon Town,46,19,9,18,63,59,4,66,,2013-2014,66
9,Port Vale,46,18,7,21,59,73,-14,61,,2013-2014,61
10,Milton Keynes Dons,46,17,9,20,63,65,-2,60,,2013-2014,60
11,Bradford City,46,14,17,15,57,54,3,59,,2013-2014,59
12,Bristol City,46,13,19,14,70,67,3,58,,2013-2014,58
13,Walsall,46,14,16,16,49,49,0,58,,2013-2014,58
14,Crawley Town,46,14,15,17,48,54,-6,57,,2013-2014,57
15,Oldham Athletic,46,14,14,18,50,59,-9,56,,2013-2014,56
16,Colchester United,46,13,14,19,53,61,-8,53,,2013-2014,53
17,Gillingham,46,15,8,23,60,79,-19,53,,2013-2014,53
18,Coventry City,46,16,13,17,74,77,-3,51,,2013-2014,51
19,Crewe Alexandra,46,13,12,21,54,80,-26,51,,2013-2014,51
20,Notts County,46,15,5,26,64,77,-13,50,,2013-2014,50
21,Tranmere Rovers,46,12,11,23,52,79,-27,47,Relegation to Football League Two,2013-2014,47
22,Carlisle United,46,11,12,23,43,76,-33,45,Relegation to Football League Two,2013-2014,45
23,Shrewsbury Town,46,9,15,22,44,65,-21,42,Relegation to Football League Two,2013-2014,42
24,Stevenage,46,11,9,26,46,72,-26,42,Relegation to Football League Two,2013-2014,42
