pos,team,pld,w,d,l,gf,ga,gd,pts,promotion_qualification_or_relegation,season
1,Bristol City,46,29,12,5,96,38,58,99,Promotion to Football League Championship,2014-2015
2,Milton Keynes Dons,46,27,10,9,101,44,57,91,Promotion to Football League Championship,2014-2015
3,Preston North End,46,25,14,7,79,40,39,89,Qualification for League One play-offs,2014-2015
4,Swindon Town,46,23,10,13,76,57,19,79,Qualification for League One play-offs,2014-2015
5,Sheffield United,46,19,14,13,66,53,13,71,Qualification for League One play-offs,2014-2015
6,Chesterfield,46,19,12,15,68,55,13,69,Qualification for League One play-offs,2014-2015
7,Bradford City,46,17,14,15,55,55,0,65,,2014-2015
8,Rochdale,46,19,6,21,72,66,6,63,,2014-2015
9,Peterborough United,46,18,9,19,53,56,-3,63,,2014-2015
10,Fleetwood Town,46,17,12,17,49,52,-3,63,,2014-2015
11,Barnsley,46,17,11,18,62,61,1,62,,2014-2015
12,Gillingham,46,16,14,16,65,66,-1,62,,2014-2015
13,Doncaster Rovers,46,16,13,17,58,62,-4,61,,2014-2015
14,Walsall,46,14,17,15,50,54,-4,59,,2014-2015
15,Oldham Athletic,46,14,15,17,54,67,-13,57,,2014-2015
16,Scunthorpe United,46,14,14,18,62,75,-13,56,,2014-2015
17,Coventry City,46,13,16,17,49,60,-11,55,,2014-2015
18,Port Vale,46,15,9,22,55,65,-10,54,,2014-2015
19,Colchester United,46,14,10,22,58,77,-19,52,,2014-2015
20,Crewe Alexandra,46,14,10,22,43,75,-32,52,,2014-2015
21,Notts County,46,12,14,20,45,63,-18,50,Relegation to Football League Two,2014-2015
22,Crawley Town,46,13,11,22,53,79,-26,50,Relegation to Football League Two,2014-2015
23,Leyton Orient,46,12,13,21,59,69,-10,49,Relegation to Football League Two,2014-2015
24,Yeovil Town,46,10,10,26,36,75,-39,40,Relegation to Football League Two,2014-2015
