pos,team,pld,w,d,l,gf,ga,gd,pts,promotion_qualification_or_relegation,season
1,Cardiff City,42,25,8,9,77,47,30,83,Cup Winners' Cup first round and promotion to the Second Division,1992-1993
2,Wrexham,42,23,11,8,75,52,23,80,Promotion to the Second Division,1992-1993
3,Barnet,42,23,10,9,66,48,18,79,Promotion to the Second Division,1992-1993
4,York City,42,21,12,9,72,45,27,75,Qualification for the Third Division play-offs,1992-1993
5,Walsall,42,22,7,13,76,61,15,73,Qualification for the Third Division play-offs,1992-1993
6,Crewe Alexandra,42,21,7,14,75,56,19,70,Qualification for the Third Division play-offs,1992-1993
7,Bury,42,18,9,15,63,55,8,63,Qualification for the Third Division play-offs,1992-1993
8,Lincoln City,42,18,9,15,57,53,4,63,,1992-1993
9,Shrewsbury Town,42,17,11,14,57,52,5,62,,1992-1993
10,Colchester United,42,18,5,19,66,76,-10,59,,1992-1993
11,Rochdale,42,16,10,16,70,70,0,58,,1992-1993
12,Chesterfield,42,15,11,16,59,62,-3,56,,1992-1993
13,Scarborough,42,15,9,18,66,71,-5,54,,1992-1993
14,Scunthorpe United,42,14,12,16,57,54,3,54,,1992-1993
15,Darlington,42,12,14,16,48,53,-5,50,,1992-1993
16,Doncaster Rovers,42,11,14,17,42,57,-15,47,,1992-1993
17,Hereford United,42,10,15,17,47,60,-13,45,,1992-1993
18,Carlisle United,42,11,11,20,51,65,-14,44,,1992-1993
19,Torquay United,42,12,7,23,45,67,-22,43,,1992-1993
20,Northampton Town,42,11,8,23,48,74,-26,41,,1992-1993
21,Gillingham,42,9,13,20,48,64,-16,40,,1992-1993
22,Halifax Town,42,9,9,24,45,68,-23,36,Relegation to Football Conference,1992-1993
23,Maidstone United,0,0,0,0,0,0,0,0,Club folded,1992-1993
1,Shrewsbury Town,42,22,13,7,63,39,24,79,Promotion to the Second Division,1993-1994
2,Chester City,42,21,11,10,69,46,23,74,Promotion to the Second Division,1993-1994
3,Crewe Alexandra,42,21,10,11,80,61,19,73,Promotion to the Second Division,1993-1994
4,Wycombe Wanderers,42,19,13,10,67,53,14,70,Qualification for the Third Division play-offs,1993-1994
5,Preston North End,42,18,13,11,79,60,19,67,Qualification for the Third Division play-offs,1993-1994
6,Torquay United,42,17,16,9,64,56,8,67,Qualification for the Third Division play-offs,1993-1994
7,Carlisle United,42,18,10,14,57,42,15,64,Qualification for the Third Division play-offs,1993-1994
8,Chesterfield,42,16,14,12,55,48,7,62,,1993-1994
9,Rochdale,42,16,12,14,63,51,12,60,,1993-1994
10,Walsall,42,17,9,16,48,53,-5,60,,1993-1994
11,Scunthorpe United,42,15,14,13,64,56,8,59,,1993-1994
12,Mansfield Town,42,15,10,17,53,62,-9,55,,1993-1994
13,Bury,42,14,11,17,55,56,-1,53,,1993-1994
14,Scarborough,42,15,8,19,55,61,-6,53,,1993-1994
15,Doncaster Rovers,42,14,10,18,44,57,-13,52,,1993-1994
16,Gillingham,42,12,15,15,44,51,-7,51,,1993-1994
17,Colchester United,42,13,10,19,56,71,-15,49,,1993-1994
18,Lincoln City,42,12,11,19,52,63,-11,47,,1993-1994
19,Wigan Athletic,42,11,12,19,51,70,-19,45,,1993-1994
20,Hereford United,42,12,6,24,60,79,-19,42,,1993-1994
21,Darlington,42,10,11,21,42,64,-22,41,,1993-1994
22,Northampton Town,42,9,11,22,44,66,-22,38,Reprived from relegation,1993-1994
1,Carlisle United,42,27,10,5,67,31,36,91,Promotion to the Second Division,1994-1995
2,Walsall,42,24,11,7,75,40,35,83,Promotion to the Second Division,1994-1995
3,Chesterfield,42,23,12,7,62,37,25,81,Qualification for the Third Division play-offs,1994-1995
4,Bury,42,23,11,8,73,36,37,80,Qualification for the Third Division play-offs,1994-1995
5,Preston North End,42,19,10,13,58,41,17,67,Qualification for the Third Division play-offs,1994-1995
6,Mansfield Town,42,18,11,13,84,59,25,65,Qualification for the Third Division play-offs,1994-1995
7,Scunthorpe United,42,18,8,16,68,63,5,62,,1994-1995
8,Fulham,42,16,14,12,60,54,6,62,,1994-1995
9,Doncaster Rovers,42,17,10,15,58,43,15,61,,1994-1995
10,Colchester United,42,16,10,16,56,64,-8,58,,1994-1995
11,Barnet,42,15,11,16,56,63,-7,56,,1994-1995
12,Lincoln City,42,15,11,16,54,55,-1,56,,1994-1995
13,Torquay United,42,14,13,15,54,57,-3,55,,1994-1995
14,Wigan Athletic,42,14,10,18,53,60,-7,52,,1994-1995
15,Rochdale,42,12,14,16,44,67,-23,50,,1994-1995
16,Hereford United,42,12,13,17,45,62,-17,49,,1994-1995
17,Northampton Town,42,10,14,18,45,67,-22,44,,1994-1995
18,Hartlepool United,42,11,10,21,43,69,-26,43,,1994-1995
19,Gillingham,42,10,11,21,46,64,-18,41,,1994-1995
20,Darlington,42,11,8,23,43,57,-14,41,,1994-1995
21,Scarborough,42,8,10,24,49,70,-21,34,,1994-1995
22,Exeter City,42,8,10,24,36,70,-34,34,Reprieved from relegation,1994-1995
1,Preston North End,46,23,17,6,78,38,40,86,Promotion to the Second Division,1995-1996
2,Gillingham,46,22,17,7,49,20,29,83,Promotion to the Second Division,1995-1996
3,Bury,46,22,13,11,66,48,18,79,Promotion to the Second Division,1995-1996
4,Plymouth Argyle,46,22,12,12,68,49,19,78,Qualification for the Third Division play-offs,1995-1996
5,Darlington,46,20,18,8,60,42,18,78,Qualification for the Third Division play-offs,1995-1996
6,Hereford United,46,20,14,12,65,47,18,74,Qualification for the Third Division play-offs,1995-1996
7,Colchester United,46,18,18,10,61,51,10,72,Qualification for the Third Division play-offs,1995-1996
8,Barnet,46,18,16,12,65,45,20,70,,1995-1996
9,Chester City,46,18,16,12,72,53,19,70,,1995-1996
10,Wigan Athletic,46,20,10,16,62,56,6,70,,1995-1996
11,Northampton Town,46,18,13,15,51,44,7,67,,1995-1996
12,Scunthorpe United,46,15,15,16,67,61,6,60,,1995-1996
13,Doncaster Rovers,46,16,11,19,49,60,-11,59,,1995-1996
14,Exeter City,46,13,18,15,46,53,-7,57,,1995-1996
